Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2141,Lea,37,Female,Miami,2024-10-12,32.5
2142,Grace,28,Female,Houston,2024-01-30,1908.52
2143,Bob,18,Female,Lyon,2024-06-17,223.5
2144,Lina,29,Female,Boston,2023-08-21,133.8
2145,Charlie,21,Male,Dallas,2023-05-27,1036.15
2146,Adam,29,Male,Paris,2024-10-14,849.0
2147,Alice,47,Female,Los Angeles,2024-04-26,725.57
2148,Adam,60,Female,Seattle,2023-09-15,0.0
2149,Charlie,34,Female,Lyon,2023-12-22,0.0
2150,Camille,23,Female,Toulouse,2024-10-08,418.0
2151,Tom,41,Female,Seattle,2024-08-31,1045.3
2152,Camille,40,Female,Paris,2024-04-04,0.0
2153,Charlie,58,Male,New York,2023-06-14,742.68
2154,Bob,41,Female,Seattle,2023-06-13,0.0
2155,Grace,35,Male,Chicago,2024-08-11,670.2
2156,Noah,36,Male,Denver,2024-01-27,447.99
2157,Sarah,49,Female,New York,2024-04-10,389.7
2158,Adam,29,Male,Los Angeles,2024-10-17,0.0
2159,Grace,32,Female,Marseille,2024-07-09,219.9
2160,Nathan,35,Female,Chicago,2024-04-15,948.72
2161,Camille,33,Male,Marseille,2024-09-11,1313.85
2162,Alice,42,Female,San Antonio,2024-07-14,64.8
2163,Lucas,37,Male,Seattle,2024-03-22,0.0
2164,Alice,53,Male,Phoenix,2023-07-29,791.62
2165,Sarah,31,Female,Philadelphia,2023-08-20,981.83
2166,Manon,21,Male,Boston,2024-07-12,451.61
2167,Sarah,63,Female,New York,2024-07-31,128.65
2168,Emma,45,Male,Marseille,2023-06-22,156.9
2169,Hugo,27,Male,Miami,2024-05-07,0.0
2170,Tom,36,Male,Los Angeles,2024-08-22,0.0
2171,Tom,46,Female,Los Angeles,2024-05-05,235.35
2172,Emma,47,Male,Boston,2023-04-10,1377.59
2173,Chloe,46,Male,San Antonio,2024-07-16,0.0
2174,Chloe,37,Female,Marseille,2024-08-01,22.84
2175,Charlie,44,Male,Boston,2023-03-07,224.9
2176,Lucas,29,Female,Atlanta,2024-10-27,836.23
2177,Lucas,18,Male,Toulouse,2023-02-03,183.15
2178,Lucas,21,Female,New York,2024-10-11,129.6
2179,Manon,34,Female,Atlanta,2023-07-13,0.0
2180,Ines,42,Female,New York,2023-05-07,818.0
2181,Bob,39,Female,Phoenix,2023-03-02,340.0
2182,Emma,45,Female,Nice,2024-10-20,31.9
2183,Sarah,18,Male,Seattle,2023-05-29,783.23
2184,Lina,45,Male,Los Angeles,2024-07-07,0.0
2185,Nathan,33,Female,Houston,2023-04-12,412.6
2186,Camille,35,Female,Atlanta,2024-08-22,0.0
2187,Camille,40,Male,Boston,2023-04-29,353.8
2188,Grace,52,Female,Philadelphia,2024-04-26,1073.78
2189,Lina,48,Male,Dallas,2023-11-12,494.4
2190,Lea,53,Male,Chicago,2023-05-29,315.66
2191,Sarah,33,Female,Phoenix,2024-07-11,0.0
2192,Lina,43,Female,Lyon,2024-04-13,257.52
2193,Nathan,42,Female,Chicago,2023-09-29,538.56
2194,Charlie,45,Male,Boston,2024-09-05,0.0
2195,Jules,34,Male,San Antonio,2024-06-07,248.43
2196,Louis,37,Female,Atlanta,2024-03-06,631.6
2197,Bob,48,Male,San Antonio,2024-10-05,0.0
2198,Tom,50,Female,Los Angeles,2024-08-28,47.9
2199,Hugo,36,Male,Boston,2024-06-22,361.75
2200,Charlie,18,Female,Dallas,2024-09-22,586.08
2201,Louis,42,Male,Paris,2023-12-14,540.64
2202,Emma,61,Male,Denver,2024-02-19,595.8
2203,Grace,35,Female,Los Angeles,2024-01-12,119.28
2204,Hugo,42,Female,Denver,2023-03-12,96.15
2205,Tom,45,Female,San Antonio,2024-03-25,432.2
2206,Tom,32,Female,Miami,2023-09-23,0.0
2207,Camille,55,Female,Los Angeles,2023-11-09,632.07
2208,Emma,29,Male,Paris,2023-10-27,656.23
2209,Ines,47,Female,Phoenix,2024-02-04,0.0
2210,Noah,42,Female,Houston,2023-06-28,85.84
2211,Noah,40,Female,Paris,2023-05-08,0.0
2212,Lea,37,Female,Philadelphia,2024-09-01,116.35
2213,Noah,20,Male,Phoenix,2024-03-15,85.6
2214,Camille,25,Female,San Antonio,2023-05-22,39.55
2215,Manon,45,Male,New York,2023-07-02,0.0
2216,Charlie,46,Female,Philadelphia,2024-04-08,183.4
2217,Manon,45,Female,Dallas,2023-11-14,89.99
2218,Lina,75,Female,Lyon,2023-10-03,0.0
2219,Manon,30,Male,Marseille,2023-07-05,0.0
2220,Emma,35,Male,Paris,2024-10-13,248.3
2221,Alice,35,Male,Denver,2024-01-15,45.68
2222,Lucas,49,Male,New York,2024-09-01,99.8
2223,Nathan,24,Female,Philadelphia,2023-08-04,317.4
2224,Bob,57,Female,Nice,2023-02-15,0.0
2225,Lucas,21,Male,Nice,2023-01-15,89.99
2226,Nathan,54,Female,Lyon,2023-01-03,0.0
2227,Hugo,19,Male,Dallas,2023-02-24,612.64
2228,Alice,29,Male,Nice,2023-05-31,721.3
2229,Noah,59,Female,Phoenix,2024-06-06,0.0
2230,Alice,18,Female,San Antonio,2023-05-17,601.53
2231,Lina,20,Male,New York,2023-06-30,736.71
2232,Noah,21,Male,Chicago,2023-12-05,0.0
2233,Manon,51,Female,Los Angeles,2023-02-04,0.0
2234,Chloe,18,Male,Nice,2023-09-28,258.22
2235,Alice,44,Female,Nice,2023-10-21,597.4
2236,Lucas,18,Female,Los Angeles,2023-02-13,104.9
2237,Bob,48,Male,Houston,2024-01-08,1125.31
2238,Jules,27,Female,Toulouse,2023-11-30,309.4
2239,Jules,28,Male,Paris,2024-03-13,0.0
2240,Charlie,49,Female,Atlanta,2023-01-27,494.78
2241,Adam,49,Female,Philadelphia,2024-06-28,179.5
2242,Louis,18,Male,Seattle,2024-01-25,95.8
2243,Hugo,18,Male,Marseille,2024-04-30,467.12
2244,Bob,22,Female,Miami,2023-07-04,364.88
2245,Emma,18,Male,Miami,2023-01-28,430.87
2246,Bob,20,Male,Dallas,2024-02-11,240.0
2247,Noah,36,Female,Atlanta,2024-06-17,0.0
2248,Noah,38,Male,Chicago,2023-03-13,99.5
2249,Ines,32,Male,Dallas,2023-08-24,407.25
2250,Hugo,39,Male,San Antonio,2023-07-27,1141.52
2251,Alice,25,Male,Marseille,2024-02-13,383.84
2252,Adam,54,Male,Boston,2024-02-08,550.88
2253,Manon,21,Male,Marseille,2024-08-31,0.0
2254,Lea,39,Male,Atlanta,2023-08-10,659.05
2255,Hugo,29,Male,Phoenix,2023-06-30,1374.31
2256,Charlie,21,Male,Miami,2024-01-14,0.0
2257,Chloe,57,Female,Denver,2024-04-28,230.35
2258,Nathan,35,Female,Atlanta,2024-03-26,78.18
2259,Ines,37,Male,Toulouse,2023-11-16,0.0
2260,Lina,40,Female,Houston,2023-10-13,1995.62
2261,Ines,36,Male,Philadelphia,2023-09-25,470.26
2262,Emma,49,Male,Dallas,2023-08-03,364.57
2263,Lina,30,Male,Chicago,2023-11-21,578.34
2264,Ines,52,Male,Boston,2024-07-02,698.2
2265,Lucas,30,Female,Chicago,2023-05-06,0.0
2266,Sarah,25,Male,Boston,2023-08-11,0.0
2267,Alice,36,Female,Philadelphia,2023-10-20,105.85
2268,Camille,24,Female,San Antonio,2024-02-26,0.0
2269,Lina,33,Female,Marseille,2024-07-23,143.7
2270,Alice,58,Female,Dallas,2023-12-02,0.0
2271,Chloe,45,Male,Dallas,2023-01-18,197.5
2272,Sarah,39,Female,Atlanta,2023-03-05,663.95
2273,Jules,36,Female,Atlanta,2024-08-11,980.84
2274,Lina,36,Female,Boston,2023-09-22,298.5
2275,Hugo,42,Female,Atlanta,2024-09-22,462.85
2276,Charlie,35,Female,Boston,2023-01-04,189.5
2277,Lucas,18,Female,Philadelphia,2024-06-03,449.97
2278,Jules,35,Female,Chicago,2024-05-30,429.92
2279,Chloe,36,Male,Los Angeles,2024-08-02,143.35
2280,Chloe,43,Female,San Antonio,2024-07-21,0.0
2281,Adam,49,Female,Nice,2024-03-16,592.55
2282,Grace,34,Female,Los Angeles,2024-03-31,417.92
2283,Ines,37,Male,Chicago,2023-08-05,34.75
2284,Manon,47,Female,Philadelphia,2024-07-08,258.1
2285,Louis,48,Male,Toulouse,2024-10-15,0.0
2286,Jules,45,Female,Los Angeles,2024-04-14,0.0
2287,Sarah,38,Male,Nice,2024-09-15,304.4
2288,Adam,26,Male,Seattle,2024-02-09,211.6
2289,Noah,52,Male,Houston,2024-02-22,189.5
2290,Louis,38,Female,Chicago,2024-10-17,0.0
2291,Ines,45,Male,Phoenix,2024-06-21,102.8
2292,Nathan,37,Female,Dallas,2023-11-22,0.0
2293,Emma,39,Male,Seattle,2024-10-06,622.9
2294,Adam,35,Female,Paris,2024-01-23,258.06
2295,Lea,24,Female,Dallas,2023-11-02,343.76
2296,Lea,47,Female,Atlanta,2023-03-11,102.4
2297,Nathan,29,Male,Denver,2023-03-19,94.75
2298,Alice,48,Male,Phoenix,2023-07-13,0.0
2299,Emma,48,Male,Phoenix,2023-12-13,261.0
2300,Lea,22,Female,Toulouse,2023-03-27,976.06
2301,Lea,63,Female,Chicago,2023-10-10,376.3
2302,Grace,18,Male,Chicago,2023-10-02,858.48
2303,Chloe,47,Female,Phoenix,2024-01-20,1003.88
2304,Grace,44,Male,Philadelphia,2023-11-11,58.95
2305,Ines,46,Male,Chicago,2023-05-28,172.59
2306,Hugo,41,Female,Phoenix,2024-02-11,122.7
2307,Grace,31,Female,Los Angeles,2024-09-22,206.03
2308,Camille,32,Female,Toulouse,2024-07-06,400.84
2309,Adam,43,Male,Miami,2023-07-04,454.18
2310,Camille,23,Male,Houston,2023-11-16,304.18
2311,Tom,48,Female,Boston,2023-01-11,413.3
2312,Bob,51,Female,San Antonio,2024-08-14,119.8
2313,Sarah,38,Female,Lyon,2023-08-01,0.0
2314,Lina,45,Male,Paris,2023-09-16,72.4
2315,Adam,34,Female,Chicago,2023-07-01,469.3
2316,Hugo,29,Female,Boston,2024-01-19,227.75
2317,Bob,42,Male,Marseille,2023-06-16,576.76
2318,Alice,48,Female,Dallas,2023-11-23,194.05
2319,Chloe,18,Female,Philadelphia,2024-05-29,607.2
2320,Charlie,49,Male,Dallas,2024-05-31,381.8
2321,Camille,32,Female,Philadelphia,2024-07-10,728.12
2322,Sarah,66,Female,Paris,2023-07-19,129.9
2323,Manon,38,Female,Los Angeles,2023-07-17,824.57
2324,Jules,32,Male,Los Angeles,2023-04-02,961.98
2325,Chloe,65,Female,New York,2023-06-30,32.5
2326,Lea,45,Male,Houston,2023-09-14,39.9
2327,Charlie,41,Male,New York,2024-07-25,300.94
2328,Camille,54,Female,Miami,2024-08-18,0.0
2329,Charlie,30,Female,Marseille,2023-05-15,301.85
2330,Charlie,21,Male,Houston,2023-12-19,269.97
2331,Camille,33,Female,Denver,2023-05-11,288.45
2332,Jules,52,Male,Chicago,2023-04-05,150.15
2333,Manon,43,Male,Paris,2023-05-18,0.0
2334,Lina,54,Female,Denver,2024-09-17,306.75
2335,Noah,47,Female,Houston,2023-06-11,0.0
2336,Hugo,46,Male,Marseille,2023-10-01,349.4
2337,Chloe,32,Male,Nice,2024-07-18,318.15
2338,Grace,33,Male,Phoenix,2023-09-20,599.4
2339,Noah,50,Male,Seattle,2023-11-09,299.98
2340,Hugo,18,Female,Marseille,2023-11-22,0.0
2341,Camille,44,Female,Marseille,2023-03-31,0.0
2342,Charlie,34,Female,Toulouse,2024-08-14,0.0
2343,Manon,54,Male,Seattle,2023-12-10,0.0
2344,Jules,32,Male,Denver,2023-09-23,0.0
2345,Noah,31,Female,Paris,2024-05-09,437.65
2346,Hugo,26,Male,Chicago,2023-10-10,821.6
2347,Louis,42,Male,Atlanta,2024-05-28,1214.7
2348,Sarah,31,Male,San Antonio,2023-05-09,642.15
2349,Louis,33,Male,Boston,2023-04-30,295.54
2350,Alice,31,Male,New York,2024-06-20,439.8
2351,Grace,18,Male,New York,2023-07-12,72.4
2352,Adam,27,Male,Atlanta,2024-01-26,182.4
2353,Chloe,41,Female,Seattle,2023-07-24,251.81
2354,Lucas,50,Female,Seattle,2024-02-12,134.75
2355,Louis,21,Female,Boston,2023-06-16,0.0
2356,Manon,38,Female,Boston,2023-11-03,823.84
2357,Lucas,45,Female,Los Angeles,2024-03-08,63.45
2358,Emma,55,Male,Toulouse,2024-04-08,0.0
2359,Hugo,36,Female,Lyon,2023-12-22,0.0
2360,Sarah,58,Male,San Antonio,2024-04-22,169.8
2361,Nathan,60,Female,Boston,2023-09-23,388.85
2362,Lea,27,Female,Phoenix,2023-09-10,450.0
2363,Hugo,46,Male,Los Angeles,2024-04-22,59.9
2364,Nathan,19,Male,Los Angeles,2024-05-11,131.01
2365,Ines,37,Female,Lyon,2024-08-07,1333.63
2366,Jules,33,Male,Dallas,2023-06-11,1070.94
2367,Grace,18,Male,Dallas,2023-05-19,1625.69
2368,Nathan,60,Male,Denver,2023-06-26,1041.7
2369,Nathan,31,Male,Nice,2023-02-15,958.36
2370,Louis,37,Female,Philadelphia,2023-06-13,462.47
2371,Lina,75,Female,Philadelphia,2023-01-03,143.35
2372,Lina,22,Male,Boston,2024-02-01,0.0
2373,Chloe,30,Male,Phoenix,2023-05-30,0.0
2374,Ines,42,Female,Seattle,2024-08-18,0.0
2375,Sarah,41,Male,Phoenix,2023-06-19,0.0
2376,Lucas,53,Male,Toulouse,2024-03-09,388.3
2377,Alice,35,Female,San Antonio,2023-08-11,1850.25
2378,Louis,42,Female,Toulouse,2023-04-26,486.45
2379,Adam,47,Female,Atlanta,2023-07-22,0.0
2380,Noah,50,Male,Toulouse,2024-04-10,58.95
2381,Noah,18,Female,Toulouse,2023-07-18,77.4
2382,Jules,33,Male,New York,2023-01-02,38.9
2383,Alice,29,Male,Paris,2024-03-25,913.85
2384,Nathan,51,Female,Philadelphia,2023-03-25,0.0
2385,Emma,40,Female,Chicago,2023-04-24,0.0
2386,Charlie,39,Female,Nice,2024-05-28,0.0
2387,Lea,18,Female,Houston,2023-12-14,0.0
2388,Lucas,38,Male,Nice,2023-10-31,0.0
2389,Lucas,34,Female,Dallas,2024-10-16,150.98
2390,Lea,24,Female,Denver,2023-12-30,110.59
2391,Hugo,27,Female,Philadelphia,2024-01-26,0.0
2392,Alice,59,Female,Toulouse,2023-02-10,0.0
2393,Grace,47,Male,Paris,2023-11-15,947.05
2394,Louis,33,Female,Houston,2023-05-31,203.5
2395,Bob,51,Male,Denver,2023-09-11,0.0
2396,Louis,43,Male,Atlanta,2024-02-06,285.78
2397,Grace,36,Female,New York,2024-02-22,159.9
2398,Noah,42,Female,Miami,2024-08-14,0.0
2399,Jules,43,Female,Atlanta,2024-06-29,0.0
2400,Ines,41,Male,Phoenix,2024-03-12,728.25
2401,Tom,50,Male,San Antonio,2024-07-29,0.0
2402,Camille,36,Male,Denver,2023-07-06,1380.62
2403,Lina,37,Female,Los Angeles,2024-02-22,119.9
2404,Sarah,38,Male,Lyon,2023-07-10,975.81
2405,Lea,50,Male,Seattle,2024-02-08,204.33
2406,Noah,42,Male,Lyon,2023-04-23,394.1
2407,Chloe,35,Male,Marseille,2024-05-15,216.8
2408,Emma,46,Male,Toulouse,2024-01-31,0.0
2409,Lina,31,Female,Philadelphia,2023-01-28,841.56
2410,Camille,26,Male,Phoenix,2023-06-09,0.0
2411,Adam,31,Female,Paris,2024-08-14,1101.24
2412,Nathan,53,Female,Nice,2024-03-01,34.75
2413,Lucas,43,Female,Chicago,2023-02-11,0.0
2414,Manon,44,Female,Atlanta,2023-07-18,1365.43
2415,Noah,29,Female,Chicago,2023-02-02,0.0
2416,Lina,61,Female,Marseille,2023-06-08,149.0
2417,Emma,42,Male,Miami,2023-04-24,44.5
2418,Lucas,56,Female,Lyon,2024-03-09,167.02
2419,Hugo,50,Male,Paris,2023-05-23,103.81
2420,Adam,51,Male,Dallas,2024-03-26,0.0
2421,Jules,39,Female,New York,2024-06-02,0.0
2422,Nathan,53,Female,Marseille,2023-09-01,0.0
2423,Lea,35,Male,Atlanta,2023-09-26,0.0
2424,Nathan,28,Female,Miami,2024-10-06,370.4
2425,Hugo,27,Female,Paris,2023-01-01,455.28
2426,Chloe,27,Female,Los Angeles,2024-07-16,485.75
2427,Emma,37,Female,Chicago,2023-10-21,102.4
2428,Emma,43,Male,Toulouse,2023-01-05,1968.09
2429,Hugo,29,Male,Marseille,2024-07-21,174.9
2430,Jules,50,Female,Los Angeles,2024-05-14,423.98
2431,Nathan,34,Male,Toulouse,2024-06-10,223.5
2432,Lucas,46,Female,San Antonio,2023-09-18,739.97
2433,Adam,57,Female,Lyon,2023-05-15,559.52
2434,Adam,41,Female,Lyon,2023-11-22,0.0
2435,Camille,41,Male,Paris,2023-02-26,71.2
2436,Hugo,30,Male,Philadelphia,2023-02-04,1618.78
2437,Alice,20,Male,Seattle,2023-08-03,98.98
2438,Charlie,18,Female,Miami,2024-05-13,135.75
2439,Adam,32,Male,Philadelphia,2024-08-03,758.0
2440,Sarah,27,Female,Lyon,2024-08-29,589.43
2441,Lea,18,Female,Atlanta,2023-06-15,42.8
2442,Charlie,18,Female,Los Angeles,2024-01-13,269.15
2443,Louis,35,Male,Marseille,2023-07-12,217.28
2444,Lina,36,Female,Toulouse,2023-10-04,63.45
2445,Lea,56,Male,Phoenix,2023-02-09,853.71
2446,Manon,47,Female,Denver,2024-03-24,0.0
2447,Jules,24,Female,San Antonio,2023-11-24,0.0
2448,Lea,39,Female,Nice,2024-10-15,31.9
2449,Louis,50,Male,Denver,2023-12-01,621.1
2450,Charlie,31,Female,Phoenix,2023-11-15,67.75
2451,Camille,34,Female,Nice,2024-03-27,0.0
2452,Bob,34,Male,Nice,2023-04-14,0.0
2453,Nathan,35,Male,Denver,2024-02-17,1210.65
2454,Lucas,51,Female,Chicago,2023-05-16,769.64
2455,Noah,45,Female,San Antonio,2023-06-26,456.8
2456,Nathan,47,Male,Denver,2023-05-05,1461.97
2457,Nathan,33,Female,Marseille,2023-10-24,257.17
2458,Alice,39,Female,Nice,2024-07-18,42.8
2459,Nathan,57,Female,Miami,2023-11-04,0.0
2460,Nathan,47,Female,Phoenix,2023-03-14,657.22
2461,Lea,52,Male,Houston,2023-03-02,31.9
2462,Ines,31,Female,Houston,2023-11-10,0.0
2463,Lea,39,Male,Lyon,2024-06-30,474.55
2464,Hugo,57,Male,Toulouse,2023-08-27,67.75
2465,Hugo,22,Female,Dallas,2023-06-04,1775.12
2466,Lea,18,Male,Dallas,2024-02-16,1244.64
2467,Lina,18,Male,Lyon,2024-02-01,299.98
2468,Grace,23,Female,San Antonio,2023-12-24,595.96
2469,Noah,62,Male,San Antonio,2023-04-20,561.29
2470,Lina,37,Female,Chicago,2024-01-18,195.0
2471,Adam,57,Female,Seattle,2024-05-23,197.5
2472,Louis,43,Male,Boston,2024-09-14,0.0
2473,Noah,44,Male,Toulouse,2024-08-07,0.0
2474,Louis,48,Female,Boston,2024-07-21,0.0
2475,Charlie,51,Female,Marseille,2024-05-24,286.7
2476,Hugo,33,Female,Paris,2023-05-31,73.8
2477,Ines,40,Male,Boston,2024-06-15,501.8
2478,Ines,42,Male,Paris,2024-08-30,42.8
2479,Jules,47,Male,Marseille,2023-07-21,907.17
2480,Bob,38,Male,Los Angeles,2023-09-22,0.0
2481,Charlie,45,Male,Phoenix,2023-06-04,434.65
2482,Chloe,30,Male,Lyon,2023-05-22,558.34
2483,Lina,46,Female,Nice,2024-08-30,59.9
2484,Ines,33,Female,Paris,2024-07-24,87.45
2485,Ines,48,Male,Los Angeles,2023-09-22,420.61
2486,Grace,33,Female,Dallas,2024-03-13,608.17
2487,Bob,66,Male,Houston,2024-09-26,0.0
2488,Emma,21,Female,Los Angeles,2024-01-29,235.2
